candidate_id,family_topic,family_category,template_id,mutation_depth,score,health_score,convergence_score,novelty_score,family_fit_score,stability_score,overfit_risk,coupling_risk,decision,expression,source_doc,mutations
qwen36_23_0df6f66e,offline-qwen36-model-ab,volatility_risk,variant_expr,0,30.08,100.0,0.0,30.21,0.0,52.0,18.0,0.0,drop,"group_neutralize(multiply(ts_delta(multi_factor_acceleration_score_derivative, 3), vec_avg(fnd2_dfdtxasoprlcarryfwd)), industry)",,
qwen36_11_d95caa09,offline-qwen36-model-ab,volatility_risk,variant_expr,0,29.93,100.0,0.0,38.7,0.0,38.0,18.0,0.0,drop,"ts_rank(divide(vec_avg(fnd2_dfdfeditxexp), vec_avg(multi_factor_static_score_derivative)), 30)",,
qwen36_12_941e001f,offline-qwen36-model-ab,volatility_risk,control_expr,0,29.24,100.0,0.0,34.88,0.0,38.0,18.0,0.0,drop,"rank(divide(vec_avg(fnd2_dfdfeditxexp), vec_avg(multi_factor_static_score_derivative)))",,
qwen36_20_bae6ee17,offline-qwen36-model-ab,volatility_risk,variant_expr,0,28.94,100.0,0.0,23.9,0.0,52.0,18.0,0.0,drop,"ts_rank(group_neutralize(multi_factor_static_score_derivative, sector), 15)",,
qwen36_09_9efcf1d8,offline-qwen36-model-ab,volatility_risk,control_expr,0,28.79,100.0,0.0,32.41,0.0,38.0,18.0,0.0,drop,"rank(multiply(multi_factor_static_score_derivative, vec_avg(fnd2_dfdtxasoprlcarryfwd)))",,
qwen36_22_435bb727,offline-qwen36-model-ab,volatility_risk,baseline_expr,0,28.32,100.0,0.0,29.79,0.0,38.0,18.0,0.0,drop,"add(ts_rank(multi_factor_acceleration_score_derivative, 20), ts_rank(vec_avg(fnd2_dfdtxasoprlcarryfwd), 20))",,
qwen36_07_ce0ff25e,offline-qwen36-model-ab,volatility_risk,baseline_expr,0,27.95,100.0,0.0,27.73,0.0,38.0,18.0,0.0,drop,"multiply(ts_rank(multi_factor_static_score_derivative, 10), vec_avg(fnd2_dfdtxasoprlcarryfwd))",,
qwen36_24_68de8c26,offline-qwen36-model-ab,volatility_risk,control_expr,0,27.93,100.0,0.0,27.63,0.0,38.0,18.0,0.0,drop,"rank(add(multi_factor_acceleration_score_derivative, vec_avg(fnd2_dfdtxasoprlcarryfwd)))",,
qwen36_05_5215bdcd,offline-qwen36-model-ab,volatility_risk,variant_expr,0,27.6,100.0,0.0,16.43,0.0,52.0,18.0,0.0,drop,"ts_delta(group_neutralize(multi_factor_acceleration_score_derivative, industry), 5)",,
qwen36_04_847dab61,offline-qwen36-model-ab,volatility_risk,baseline_expr,0,25.78,100.0,0.0,6.35,0.0,52.0,18.0,0.0,drop,"group_rank(multi_factor_acceleration_score_derivative, sector)",,
qwen36_19_ffe85103,offline-qwen36-model-ab,volatility_risk,baseline_expr,0,25.45,100.0,0.0,13.05,0.0,52.0,25.68,0.0,drop,"group_rank(winsorize(multi_factor_static_score_derivative, 0.05), subindustry)",,
qwen36_06_c9a83fab,offline-qwen36-model-ab,volatility_risk,control_expr,0,22.96,100.0,0.0,0.0,0.0,38.0,18.0,0.0,drop,rank(multi_factor_acceleration_score_derivative),,
qwen36_21_8754d62e,offline-qwen36-model-ab,volatility_risk,control_expr,0,22.96,100.0,0.0,0.0,0.0,38.0,18.0,0.0,drop,rank(multi_factor_static_score_derivative),,
